Player,Class,Season,Pos,School,Conf,G,MP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
Jimmer Fredette\jimmer-fredette-1,SR,2010-11,G,Brigham Young,MWC,37,35.8,0.6,2.8,3.4,4.3,1.3,0,3.5,1.3,28.9,89.47368421,45.41062802,40
Kemba Walker\kemba-walker-1,JR,2010-11,G,Connecticut,Big East,41,37.6,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,81.81818182,42.77777778,32.72727273
Andrew Goudelock\andrew-goudelock-1,SR,2010-11,G,College of Charleston,Southern,37,35.2,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8,23.7,83.33333333,45.5026455,40.22988506
Marshon Brooks\marshon-brooks-1,SR,2010-11,G-F,Providence,Big East,32,36.5,2.3,4.8,7,2.5,1.5,1.2,3.1,2.5,24.6,77.94117647,48.31460674,33.87096774
Kyrie Irving\kyrie-irving-1,FR,2010-11,G,Duke,ACC,11,27.5,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,89.23077,52.63158,45.71429
Norris Cole\norris-cole-1,SR,2010-11,G,Cleveland State,Horizon,36,35.7,0.8,5.1,5.8,5.3,2.2,0.1,2.7,2.4,21.7,85.13513514,44.02515723,34.14634146
Alec Burks\alec-burks-1,SO,2010-11,G,Colorado,Big 12,38,31.4,2.4,4.1,6.5,2.9,1.1,0.3,2.6,2.3,20.5,83.5443038,46.80851064,28
Nolan Smith\nolan-smith-1,SR,2010-11,G,Duke,ACC,37,34,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9,20.6,82.25806452,45.45454545,34.09090909
Charles Jenkins\charles-jenkins-1,SR,2010-11,G,Hofstra,CAA,33,37.3,0.5,2.8,3.4,4.8,1.7,0.7,2.2,2,22.6,82.08955224,51.36986301,41.66666667
Adrian Oliver\adrian-oliver-2,SR,2010-11,G,San Jose State,WAC,31,35,1.3,4.1,5.3,2.5,0.7,0.4,3.1,2.7,24,81.69014085,42.93478261,41.81818182
