Rk,Player,Class,Season,Pos,School,Conf,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
1,Marcus Keene\marcus-keene-1,JR,2016-17,G,Central Michigan,MAC,36.4,9.7,21,5.8,10.8,3.9,10.3,6.6,8.1,0.8,3.9,4.7,5.3,0.8,0,4.5,1.8,29.8,81.48148148,46.19047619,37.86407767
2,Mike Daum\mike-daum-1,SO,2016-17,F,South Dakota State,Summit,32.6,7.4,14.2,5.3,9.4,2.1,4.8,7,8.1,2.2,5.7,7.9,1.6,0.6,0.4,2.9,2.7,23.9,86.41975309,52.11267606,43.75
3,Dallas Moore\dallas-moore-1,SR,2016-17,G,North Florida,A-Sun,34.5,8.6,17.7,5.6,10.3,3,7.4,3.3,3.9,0.8,2.3,3.1,3.8,1.2,0.1,2,1,23.5,84.61538462,48.58757062,40.54054054
4,Chris Clemons\chris-clemons-2,SO,2016-17,G,Campbell,Big South,33.2,7.7,17.6,4.6,8.7,3.1,8.9,4.9,6,0.4,3.8,4.2,2.7,1.8,0.6,2.5,2.1,23.4,81.66666667,43.75,34.83146067
5,Randy Onwuasor\randy-onwuasor-1,JR,2016-17,G,Southern Utah,Big Sky,34.2,7.5,18.3,5.7,12.5,1.8,5.9,6.3,7.7,1.5,5.3,6.8,3.1,1.3,0.5,3.3,3.1,23.1,81.81818182,40.98360656,30.50847458
6,Alec Peters\alec-peters-1,SR,2016-17,F,Valparaiso,Horizon,35.5,7.4,16,5.5,10.7,1.9,5.4,6.4,7.1,2.8,7.9,10.7,2.2,0.9,0.4,2.6,2.2,23.1,90.14084507,46.25,35.18518519
7,Tyler Hall\tyler-hall-2,SO,2016-17,G,Montana State,Big Sky,34.1,7.5,16.2,4,7.5,3.5,8.7,4.3,5.1,0.5,4.6,5.2,2.7,1,0.3,2,2.3,22.8,84.31372549,46.2962963,40.22988506
8,Jaylon Brown\jaylon-brown-1,SR,2016-17,G,Evansville,MVC,36.4,6.6,13.9,5.5,11.4,1.1,2.5,6,7,0.5,3.7,4.2,3.2,1.1,0.1,2.5,2.4,20.3,85.71428571,47.48201439,44
9,Malik Monk\malik-monk-1,FR,2016-17,G,Kentucky,SEC,31.7,7.5,15.6,4.3,8,3.2,7.6,3.5,4.2,0.3,2.1,2.5,2.2,1.2,0.5,2,1.8,21.7,83.33333333,48.07692308,42.10526316
10,Kendrick Ray\kendrick-ray-1,SR,2016-17,G,Kennesaw State,A-Sun,33.7,8,17.3,5.1,10.2,2.9,7.1,2.6,3.2,0.9,2.5,3.4,2.8,0.7,0.4,2.8,2.6,21.6,81.25,46.24277457,40.84507042
11,Cameron Morse\cameron-morse-1,JR,2016-17,G,Youngstown State,Horizon,36.3,8.4,20.3,5.8,12.6,2.5,7.7,3.7,5.2,0.5,2.7,3.1,2.8,1,0.1,2.3,1.3,23,71.15384615,41.37931034,32.46753247
12,Jonathan Stark\jonathan-stark-1,JR,2016-17,G,Murray State,OVC,35.4,7.3,16.3,4.4,9.3,2.9,7,3.6,4.4,0.2,3.3,3.5,5.7,1.4,0,2.9,2.2,21.1,81.81818182,44.78527607,41.42857143
13,Keon Johnson\keon-johnson-1,SR,2016-17,G,Winthrop,Big South,35.1,6.9,15.6,3.9,8.3,3,7.3,5.2,6,0.5,3.4,3.9,2.7,0.6,0,2.5,1.9,21.9,86.66666667,44.23076923,41.09589041
14,Eric Mika\eric-mika-2,SO,2016-17,F,Brigham Young,WCC,27.8,6.8,12.8,6.8,12.8,0,0,6.6,8.5,3,6.5,9.5,1.6,0.5,2,2.6,2.9,20.2,77.64705882,53.125,0
15,Lamond Murray\lamond-murray-2,SR,2016-17,G,Pepperdine,WCC,33.9,8.1,16.5,6.5,12.4,1.6,4.1,3,4,1.2,4.5,5.7,1.3,1.2,0.5,2.7,2,20.9,75,49.09090909,39.02439024
16,Braylon Rayson\braylon-rayson-1,SR,2016-17,G,Central Michigan,MAC,36.7,6.5,17,3.7,9.3,2.7,7.7,5.1,6,0.8,3.8,4.5,3.3,1.2,0,2.8,2.2,20.7,85,38.23529412,35.06493506
17,Garrison Mathews\garrison-matthews-1,SO,2016-17,G,Lipscomb,A-Sun,30.7,6,13.4,3.4,5.8,2.6,7.6,5.3,7.2,1.3,4.4,5.7,2,0.9,0.1,2.3,2.7,19.8,73.61111111,44.7761194,34.21052632
