Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	4.9	7.1	12	1.5	1.4	1.8	2.7	2.1	18.8	61.72839506	60	0	4	9	1
0	1.9	7.1	9	3.3	0.7	1	2.2	2.6	19.3	82.05128205	49.34210526	35.71428571	4	9	1
0	2.5	11.4	13.9	0.3	0.8	2.8	1.6	3.2	15.7	69.35483871	63.33333333	0	4	9	1
0	3.2	5.1	8.2	0.6	0.5	1.3	2.5	3.1	15.9	66.12903226	59.5959596	0	4	9	1
0	2.4	7.1	9.5	1.4	0.7	0.4	2.9	3.1	17.7	75.75757576	55.75221239	33.33333333	3	9	1
30	2.3	5.8	8.2	1.1	0.3	2.5	2	2.4	15	71.05263158	58.82352941	66.66666667	4	4	1
0	4.5	6.2	10.6	0.6	0.8	1.4	1.5	3.5	14.8	67.85714286	64.70588235	0	1	9	1
0	3.2	4.7	7.8	0.9	0.6	2.9	2.1	3.5	15.3	62.5	64.36781609	0	4	9	1
0	2.7	4.9	7.6	1.6	0.5	1.3	1.5	2.4	13.6	59.01639344	57.47126437	0	3	9	1
0	3.1	4.5	7.6	1.6	0.6	0.8	2.6	2.6	14.2	61.2244898	56.12244898	40	3	9	1
62	2.2	4.6	6.9	1.2	0.2	1.6	2	3.3	13.9	52.94117647	58.94736842	0	3	3	1
0	3.8	7.7	11.5	0.9	1	0.7	1.3	1.8	13.2	56.41025641	58.5106383	0	4	9	1
0	1.8	4.5	6.2	1	0.7	1.1	2.5	2.8	13	67.5	46.78899083	100	4	9	1
0	3.9	5.7	9.7	1.2	0.5	1.6	1.9	3	13.1	69.44444444	61.62790698	0	4	9	1
0	2.6	7.2	9.8	1.9	0.5	1.3	2.1	2.9	13.2	49.09090909	50.96153846	0	3	9	1
0	2	5.2	7.2	0.6	0.2	2.4	2.2	2.5	12.1	62.5	67.64705882	0	3	9	1
48	2.9	5.5	8.5	1.6	0.8	2	2.1	3	9.9	61.11111111	61.97183099	0	2	1	1
0	3.2	3.3	6.4	0.2	0.5	3.2	1.2	2.7	9.5	47.5	50	0	2	9	1
0	2.8	4	6.8	0.4	0.2	2.4	1.4	3.6	10.5	67.85714286	53.75	0	2	9	1
0	2.2	3.6	5.7	0.8	0.2	2.3	1.5	3	8.1	64	55.93220339	0	4	1	1
0	1.8	4.1	5.9	0.3	0.1	2.3	1.6	2.5	7.4	58.82352941	74.41860465	0	1	8	1
0	2	2.6	4.6	0.9	0.1	2.5	2.2	2.8	7.3	67.74193548	52	0	4	9	1
0	2.8	4.5	7.3	0.5	0.4	3.3	1.3	3.1	5.6	52.63157895	50	0	4	9	1
0	2.4	3.4	5.7	1.2	0.6	2.4	1.2	3	7.3	39.28571429	49.20634921	0	1	6	1
0	1.8	2.8	4.6	0.1	0.3	2.7	0.8	2.6	6.5	78.57142857	67.5	0	3	8	2
0	1.7	3.1	4.8	0.2	0.3	2.5	1.1	2.4	4.9	50	64.51612903	0	2	9	1
0	2.3	2.8	5	0.1	0.3	2	1.3	3.3	4.1	42.85714286	57.14285714	0	3	5	2
0	1.2	1.5	2.7	0.3	0.3	2.2	0.8	2.3	3.8	46.66666667	66.66666667	0	3	2	1
0	1	2.7	3.7	0.7	0.3	2	0.5	1.9	3.2	55.55555556	63.63636364	0	1	9	1
0	2.9	3.3	6.2	0.7	0.6	1.1	1.6	2.6	11.3	61.70212766	65.625	0	1	3	1
0	2.1	4.8	6.9	1.1	0.7	1	1.8	3.4	12.2	64.28571429	62.19512195	25	3	9	1
0	3	3.1	6.2	1	0.4	1.4	1.8	2.9	12.1	67.56756757	60.75949367	0	3	6	1
0	2	4.2	6.2	0.7	0.6	1	1.3	2.9	11.3	70.96774194	53.57142857	0	4	9	1
0	2.5	3.7	6.1	0.4	0.5	1.3	1.5	2.9	11.2	70.73170732	71.18644068	0	4	6	1
0	2.7	3.8	6.5	0.4	0.4	1.4	1.8	3.2	11.5	52.94117647	59.45945946	0	2	3	3
0	2.9	5.4	8.4	0.9	0.7	1.2	1.9	2.4	11.9	67.34693878	48.27586207	40	2	9	1
0	3.1	5	8.2	1.7	0.8	1.1	2.2	2.9	12.4	56.4516129	47.31182796	0	3	9	1
0	2.3	4.6	6.9	0.8	0.5	1.4	2.1	2.6	11.8	49.05660377	54.11764706	0	2	9	1
