Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
20	2.7	5	7.7	1.1	0.9	1	1.9	2.8	21.1	77.46478873	46.05263158	33.33333333	2	6	1
0	1.7	4.6	6.3	1.5	0.4	0.8	2.1	1.8	20.4	85.36585366	48.97959184	43.85964912	4	9	1
22	1.3	4.9	6.2	3.3	0.9	0.6	2.6	3.2	20.5	79.41176471	54.72972973	39.02439024	4	5	1
68	3.9	7.7	11.6	1.7	1	2.2	2	2.7	20.2	67.79661017	54	25	2	9	1
0	2.5	5.9	8.4	1.3	0.7	0.3	1.7	2.1	18.4	84.44444444	50.42016807	44.64285714	3	9	1
72	2.9	7.5	10.4	1.5	1.1	1.5	1.8	2.7	17	78.26086957	61.46788991	0	4	1	3
0	1.8	8	9.8	1.2	1.3	1.1	2.3	2.8	20.1	73.68421053	54.48275862	31.25	4	9	1
0	4.5	6.3	10.8	1.6	0.9	3	1.3	2.2	19.8	62.96296296	62.59541985	0	4	9	1
0	2.3	5.8	8.1	0.9	0.6	1	1.1	2.8	18.1	88.63636364	52.54237288	38.29787234	4	9	1
24	1.1	3	4.1	4.3	1.9	0.4	2.8	2.6	17.5	67.44186047	46.21212121	39.68253968	4	1	2
0	4	8.1	12.1	1.4	0.7	1.8	2.7	2.8	18.9	68.11594203	52.30769231	25	4	9	1
0	1.8	4.1	5.8	1.3	0.5	0.5	1.5	1.7	16.9	78.72340426	52.99145299	41.17647059	4	5	3
0	2	5.6	7.6	1.2	0.6	0.3	2.1	2.5	16.8	83.01886792	50.4587156	42.42424242	3	9	1
0	2	3.4	5.4	3.1	1.1	0.4	2.3	2.9	16.7	80.48780488	47.28682171	35.13513514	2	2	1
100	3.1	8.8	11.8	1.8	0.6	0.9	2.6	3.2	17.6	77.77777778	60.55045872	25	2	9	1
120	3.1	8.6	11.8	4.8	2	0.8	3.4	2.8	19.2	66.66666667	55.55555556	0	1	3	2
80	1.4	6.3	7.8	4.5	1.4	0.8	2	2.4	17.4	67.34693878	47.82608696	25	3	9	1
