Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
110	1.2	4.5	5.7	2	1.1	0.5	3.1	2.1	25	88.88888889	50	45.97701149	4	5	1
14	0.7	3.5	4.3	9.3	2	0.2	3.4	3	24.4	83.95061728	44	36.06557377	3	9	1
0	0.6	3.7	4.2	3	1	0.1	1.3	1.8	22.1	82.22222222	42.92929293	34.21052632	4	9	1
0	0.7	1.5	2.2	2.8	2	0.2	4.1	2.1	27.1	84.54545455	38.65979381	33.75	3	9	1
0	0.7	3.9	4.6	3.5	1.3	0.1	2	2.7	21.6	84.28571429	46.15384615	41.66666667	2	1	3
0	0.6	3.9	4.6	4.5	0.6	0.1	2.6	2.2	23.5	86.74698795	43.35260116	36.11111111	3	1	1
0	0.6	5	5.6	4.3	1.4	0.6	3.7	2.8	24.2	81.92771084	44.09937888	38.0952381	4	7	1
0	1	2.2	3.2	4.3	1.5	0.1	3.8	2.4	23.6	81.92771084	40.60606061	37.5	4	3	1
0	0.9	3.2	4.1	4.9	1.8	0.1	3.2	1.9	23.4	83.60655738	42.85714286	32.91139241	3	9	1
0	0.5	4.1	4.7	4.5	2.2	0.6	2.2	2.9	20.7	75	41.07142857	32.75862069	4	7	1
108	1.5	3.7	5.2	2.2	1	0.3	2.3	2.1	20	78.57142857	45.63758389	40.25974026	1	3	3
0	1.5	4.3	5.7	4.9	1.4	0	2.8	2.8	20.9	85.10638298	38.97058824	41.07142857	4	2	2
0	0.8	2.6	3.3	4.4	0.7	0.3	2.7	1.7	20.5	78.33333333	44.375	34	4	9	1
0	0.6	4.4	4.9	2.9	1.7	0	3.8	2.4	23.1	76.47058824	44.63276836	30.98591549	2	9	1
0	0.7	4.8	5.5	3.2	1.1	0.1	3.4	2	21.7	85	42.95774648	39.43661972	2	7	1
0	0.6	3.2	3.8	3.7	2.2	0	2.2	1.5	19.3	83.60655738	43.38235294	39.28571429	3	9	1
0	0.6	1.9	2.5	3.7	1.1	0	2.8	1.6	21	82.14285714	43.24324324	40.22988506	4	9	1
0	0.9	3.1	4	2.8	2.2	0.2	3.1	2.9	21.5	79.45205479	47.2972973	32.0754717	1	9	1
50	0.5	3.5	4.1	3.1	0.9	0.2	1.4	2.1	18.2	90.47619048	45.58823529	38.46153846	4	1	1
0	0.4	2.4	2.8	2.1	1.1	0.1	1.5	1.7	18.2	82.9787234	40.57971014	36.58536585	4	9	1
0	0.6	3.4	4	6	0.9	0.1	1.9	0.8	19.8	70	51.36986301	39.58333333	3	9	1
0	1	4.2	5.1	1.8	1.1	0.3	1.8	2.4	23.1	85	43.11377246	39.13043478	3	9	1
0	1	4.7	5.7	6.2	2	0.5	3.2	1.6	19.9	70.23809524	50	28.57142857	4	9	1
0	0.6	3.4	4	1.9	1.1	0.8	1.9	2.1	18.5	75	43.44827586	42.1875	4	9	1
0	1.2	3.7	4.9	3.5	1.9	0.3	1.8	2.3	20.1	85.48387097	48.88888889	38.0952381	3	9	1
0	0.3	2.7	3	3.3	1.6	0.1	2	1.3	18.3	82.60869565	37.33333333	33	3	9	1
0	0.4	2.8	3.2	2.3	0.7	0.2	1.9	2.2	20.6	82.25806452	39.87341772	38.15789474	3	9	1
0	0.2	2	2.1	3.7	0.9	0	2.2	1.3	19.3	82.22222222	45.03816794	45.78313253	4	9	1
0	0.5	4.5	5	6.2	1.6	0.5	3.6	2.1	22.6	82.35294118	43.31210191	37.36263736	4	9	1
0	0.6	2.1	2.7	2.2	1.3	0.1	1.5	1.3	17.4	79.16666667	41.61073826	38.27160494	4	9	1
0	0.9	3.1	4	5.4	2.4	0.1	3.6	2.5	20.2	86.84210526	40	37.73584906	3	9	1
0	0.3	3.1	3.5	2.8	0.7	0.1	2.2	1.8	17.9	61.36363636	49.19354839	42.85714286	3	9	1
118	1.9	4.9	6.8	2	1.1	1.4	2	2.1	17.3	68.08510638	44.02985075	40.74074074	1	1	3
0	0.6	2.2	2.7	3.6	2.6	0.3	1.7	1.9	17.3	59.01639344	42.22222222	35.29411765	4	9	1
0	1.7	3.5	5.2	1.6	1	0.6	2	2.4	22.2	88.88888889	53.10344828	40	3	9	1
0	1.9	4.9	6.8	1.9	1.2	0.3	1.7	2.2	15.5	76.47058824	51.78571429	35.8974359	3	6	1
38	0.5	3.1	3.6	5.1	1.2	1.4	3.5	2.3	18.2	75.86206897	37.74834437	36.92307692	2	6	1
0	0.7	3.2	3.8	1.8	1.1	0	2.7	2.8	19.3	76.92307692	43.33333333	37.70491803	4	9	1
0	1.3	5.3	6.6	3.3	1.2	0.4	2.2	2.6	18.1	82.60869565	43.41085271	31.42857143	3	4	1
0	0.5	3.1	3.6	4.6	1	0.2	3.2	2	17.9	82.35294118	40.42553191	34.7826087	4	9	1
0	1.4	4.6	6.1	2.2	1.5	0.5	2.3	2.6	17.4	68.08510638	44.02985075	37.31343284	4	9	1
0	0.7	2.7	3.4	3.6	1.3	0.1	2.4	2.5	19.6	81.13207547	42.10526316	35.13513514	4	9	1
0	0.2	2.8	3.1	4.5	0.9	0.1	2.1	1.9	18.4	82.14285714	47.01492537	42.35294118	4	9	1
0	0.3	2.4	2.7	3.1	1.5	0.1	1.7	1.6	20.3	81.03448276	47.18309859	40.38461538	2	9	1
0	0.4	2.7	3.1	2.6	1	0	2.7	1.4	16.9	83.63636364	39.84375	33.89830508	2	9	1
0	0.3	2.2	2.5	4.9	0.9	0	3	1.8	20.3	73.61111111	41.83006536	35.48387097	2	9	1
0	1	2.8	3.8	5.6	1.1	0	2.5	1.7	17.3	82.9787234	45.90163934	42.59259259	4	4	1
0	0.7	3.6	4.4	7.1	1.6	0.5	3	2.3	17.8	78.87323944	39.84375	36.36363636	4	9	1
54	0.5	2.5	3	7	1.5	0.1	2	1.8	17.3	85.71428571	43.65079365	34.7826087	2	3	3
0	0.6	4	4.6	3.2	1.2	0.1	2.8	2	18.7	86.79245283	39.45578231	36.61971831	4	9	1
0	0.5	3.6	4.2	2.5	0.9	0	2.2	1.9	18.7	83.87096774	45.52845528	38.70967742	3	9	1
0	0.8	2	2.8	1.9	0.8	0.2	2.3	2	17.6	76.8115942	52.25225225	38.0952381	3	9	1
0	0.5	2.4	2.9	3	0.8	0.1	2.1	1.8	18.7	83.33333333	47.65625	40.27777778	4	9	1
0	0.7	4.8	5.5	3	1.1	0.4	3.3	2.2	19.2	71.69811321	39.13043478	36.70886076	3	9	1
0	1.6	4.7	6.3	2.8	1.4	0.5	2.7	2.2	19.8	91.83673469	40.38461538	36.36363636	3	9	1
94	0.8	6.7	7.5	7.8	1	0.2	2.7	1.7	19.2	83.87096774	46.15384615	45.33333333	4	4	2
0	0.7	4.2	4.8	3.8	1	0.2	2.8	2.3	18.6	62.85714286	46.51162791	30	4	9	1
0	0.8	3.1	3.9	2.9	2.2	0.4	2.1	2.1	16.9	68.96551724	45.86466165	36.98630137	4	9	1
0	0.6	3.3	3.8	4	1.4	0.4	1.9	0.9	17.9	85.41666667	44.62809917	40.84507042	4	9	1
0	0.5	3	3.5	2.5	1.4	0.1	1.5	2.8	16.3	85.18518519	42.10526316	38.57142857	1	9	1
0	0.6	2.8	3.3	4.9	1.5	0	3.2	2.7	18.3	77.46478873	44.53125	38.23529412	3	9	1
0	0.6	3.2	3.8	2.6	1.4	0.3	2.5	2.5	17.6	69.84126984	46.77419355	38.46153846	4	3	1
0	1	4.4	5.4	1.3	1.1	0.1	1.7	1.8	16.6	80	40.42553191	37.09677419	4	9	1
0	2.2	3.7	5.9	3.2	1.5	0.4	3.2	3.4	17	81.03448276	40.1459854	31.70731707	4	9	1
0	0.6	3.1	3.7	2.2	0.8	0	2.3	2.3	18.7	80.64516129	38.19444444	38.57142857	4	9	1
0	1.4	4.2	5.6	2.7	1.4	0.2	2.5	3.1	18.7	70	48.5915493	35.13513514	3	9	1
